App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Dead Fields,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Lack of Cohesion,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
checkstyle,CheckerTest.java,/home/ubuntu/experiments/projects/checkstyle/src/test/java/com/puppycrawl/tools/checkstyle/CheckerTest.java,/home/ubuntu/experiments/projects/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/Checker.java,CheckerTest.java,Checker.java,false,true,false,false,false,false,true,false,true,true,false,false,false,false,false,true,true,true,true,false,true,true,false
checkstyle,AuditEventDefaultFormatterTest.java,/home/ubuntu/experiments/projects/checkstyle/src/test/java/com/puppycrawl/tools/checkstyle/AuditEventDefaultFormatterTest.java,/home/ubuntu/experiments/projects/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/AuditEventDefaultFormatter.java,AuditEventDefaultFormatterTest.java,AuditEventDefaultFormatter.java,false,true,false,false,false,false,true,false,true,true,false,false,false,false,false,true,true,true,true,false,true,true,false
checkstyle,PropertiesExpanderTest.java,/home/ubuntu/experiments/projects/checkstyle/src/test/java/com/puppycrawl/tools/checkstyle/PropertiesExpanderTest.java,/home/ubuntu/experiments/projects/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/PropertiesExpander.java,PropertiesExpanderTest.java,PropertiesExpander.java,false,true,false,false,false,false,true,false,true,true,false,false,false,false,false,true,true,true,true,false,true,true,false
checkstyle,JavadocPropertiesGeneratorTest.java,/home/ubuntu/experiments/projects/checkstyle/src/test/java/com/puppycrawl/tools/checkstyle/JavadocPropertiesGeneratorTest.java,/home/ubuntu/experiments/projects/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/JavadocPropertiesGenerator.java,JavadocPropertiesGeneratorTest.java,JavadocPropertiesGenerator.java,false,true,false,false,false,false,true,false,true,true,false,false,false,false,false,true,true,true,true,false,true,true,false
checkstyle,TreeWalkerTest.java,/home/ubuntu/experiments/projects/checkstyle/src/test/java/com/puppycrawl/tools/checkstyle/TreeWalkerTest.java,/home/ubuntu/experiments/projects/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/TreeWalker.java,TreeWalkerTest.java,TreeWalker.java,false,true,false,false,false,false,true,false,true,true,false,false,false,false,false,true,true,true,true,false,true,true,false
checkstyle,XmlLoaderTest.java,/home/ubuntu/experiments/projects/checkstyle/src/test/java/com/puppycrawl/tools/checkstyle/XmlLoaderTest.java,/home/ubuntu/experiments/projects/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/XmlLoader.java,XmlLoaderTest.java,XmlLoader.java,false,true,false,false,false,false,true,false,true,true,false,false,false,false,false,true,true,true,true,false,true,true,false
checkstyle,DetailNodeTreeStringPrinterTest.java,/home/ubuntu/experiments/projects/checkstyle/src/test/java/com/puppycrawl/tools/checkstyle/DetailNodeTreeStringPrinterTest.java,/home/ubuntu/experiments/projects/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/DetailNodeTreeStringPrinter.java,DetailNodeTreeStringPrinterTest.java,DetailNodeTreeStringPrinter.java,false,true,false,false,false,false,true,false,true,true,false,false,false,false,false,true,true,true,true,false,true,true,false
checkstyle,JavaParserTest.java,/home/ubuntu/experiments/projects/checkstyle/src/test/java/com/puppycrawl/tools/checkstyle/JavaParserTest.java,/home/ubuntu/experiments/projects/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/JavaParser.java,JavaParserTest.java,JavaParser.java,false,true,false,false,false,false,true,false,true,true,false,false,false,false,false,true,true,true,true,false,true,true,false
checkstyle,DefaultConfigurationTest.java,/home/ubuntu/experiments/projects/checkstyle/src/test/java/com/puppycrawl/tools/checkstyle/DefaultConfigurationTest.java,/home/ubuntu/experiments/projects/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/DefaultConfiguration.java,DefaultConfigurationTest.java,DefaultConfiguration.java,false,true,false,false,false,false,true,false,true,true,false,false,false,false,false,true,true,true,true,false,true,true,false
checkstyle,ThreadModeSettingsTest.java,/home/ubuntu/experiments/projects/checkstyle/src/test/java/com/puppycrawl/tools/checkstyle/ThreadModeSettingsTest.java,/home/ubuntu/experiments/projects/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/ThreadModeSettings.java,ThreadModeSettingsTest.java,ThreadModeSettings.java,false,true,false,false,false,false,true,false,true,true,false,false,false,false,false,true,true,true,true,false,true,true,false
