App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Dead Fields,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Lack of Cohesion,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
commons-beanutils,BeanPropertyValueEqualsPredicateTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils/BeanPropertyValueEqualsPredicateTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/main/java/org/apache/commons/beanutils/BeanPropertyValueEqualsPredicate.java,src/test/java/org/apache/commons/beanutils/BeanPropertyValueEqualsPredicateTestCase.java,src/main/java/org/apache/commons/beanutils/BeanPropertyValueEqualsPredicate.java,true,false,true,false,false,false,true,false,true,false,false,false,false,false,false,true,true,true,true,false,false,false,false
commons-beanutils,BeanMapTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils/BeanMapTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/main/java/org/apache/commons/beanutils/BeanMap.java,src/test/java/org/apache/commons/beanutils/BeanMapTestCase.java,src/main/java/org/apache/commons/beanutils/BeanMap.java,true,true,true,true,false,true,true,false,true,false,true,false,false,false,false,true,true,true,true,false,false,true,false
commons-beanutils,LazyDynaListTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils/LazyDynaListTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/main/java/org/apache/commons/beanutils/LazyDynaList.java,src/test/java/org/apache/commons/beanutils/LazyDynaListTestCase.java,src/main/java/org/apache/commons/beanutils/LazyDynaList.java,true,true,true,true,false,true,true,false,true,false,true,false,false,false,false,true,true,true,true,false,false,true,false
commons-beanutils,MethodUtilsTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils/MethodUtilsTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/main/java/org/apache/commons/beanutils/MethodUtils.java,src/test/java/org/apache/commons/beanutils/MethodUtilsTestCase.java,src/main/java/org/apache/commons/beanutils/MethodUtils.java,true,true,true,true,false,true,true,false,true,false,true,false,true,false,false,true,true,true,true,false,false,true,false
commons-beanutils,BeanPredicateTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils/BeanPredicateTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/main/java/org/apache/commons/beanutils/BeanPredicate.java,src/test/java/org/apache/commons/beanutils/BeanPredicateTestCase.java,src/main/java/org/apache/commons/beanutils/BeanPredicate.java,true,true,true,true,false,true,true,false,true,false,true,false,true,false,false,true,true,true,true,false,false,true,false
commons-beanutils,WrapDynaBeanTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils/WrapDynaBeanTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/main/java/org/apache/commons/beanutils/WrapDynaBean.java,src/test/java/org/apache/commons/beanutils/WrapDynaBeanTestCase.java,src/main/java/org/apache/commons/beanutils/WrapDynaBean.java,true,true,true,true,false,true,true,false,true,false,true,false,true,false,false,true,true,true,true,false,false,true,false
commons-beanutils,LazyDynaBeanTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils/LazyDynaBeanTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/main/java/org/apache/commons/beanutils/LazyDynaBean.java,src/test/java/org/apache/commons/beanutils/LazyDynaBeanTestCase.java,src/main/java/org/apache/commons/beanutils/LazyDynaBean.java,true,true,true,true,false,true,true,true,true,false,true,false,true,false,false,true,true,true,true,false,false,true,false
commons-beanutils,BeanUtilsTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils/BeanUtilsTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/main/java/org/apache/commons/beanutils/BeanUtils.java,src/test/java/org/apache/commons/beanutils/BeanUtilsTestCase.java,src/main/java/org/apache/commons/beanutils/BeanUtils.java,true,true,true,true,false,true,true,true,true,false,true,false,true,false,false,true,true,true,true,false,false,true,false
commons-beanutils,FluentPropertyBeanIntrospectorTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils/FluentPropertyBeanIntrospectorTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/main/java/org/apache/commons/beanutils/FluentPropertyBeanIntrospector.java,src/test/java/org/apache/commons/beanutils/FluentPropertyBeanIntrospectorTestCase.java,src/main/java/org/apache/commons/beanutils/FluentPropertyBeanIntrospector.java,true,true,true,true,false,true,true,true,true,false,true,false,true,false,false,true,true,true,true,false,false,true,false
commons-beanutils,SuppressPropertiesBeanIntrospectorTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils/SuppressPropertiesBeanIntrospectorTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/main/java/org/apache/commons/beanutils/SuppressPropertiesBeanIntrospector.java,src/test/java/org/apache/commons/beanutils/SuppressPropertiesBeanIntrospectorTestCase.java,src/main/java/org/apache/commons/beanutils/SuppressPropertiesBeanIntrospector.java,true,true,true,true,false,true,true,true,true,false,true,false,true,false,false,true,true,true,true,false,false,true,false
commons-beanutils,DefaultIntrospectionContextTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils/DefaultIntrospectionContextTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/main/java/org/apache/commons/beanutils/DefaultIntrospectionContext.java,src/test/java/org/apache/commons/beanutils/DefaultIntrospectionContextTestCase.java,src/main/java/org/apache/commons/beanutils/DefaultIntrospectionContext.java,true,true,true,true,false,true,true,true,true,false,true,false,true,false,false,true,true,true,true,false,false,true,false
commons-beanutils,PropertyUtilsTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils/PropertyUtilsTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/main/java/org/apache/commons/beanutils/PropertyUtils.java,src/test/java/org/apache/commons/beanutils/PropertyUtilsTestCase.java,src/main/java/org/apache/commons/beanutils/PropertyUtils.java,true,true,true,true,false,true,true,true,true,false,true,false,true,false,false,true,true,true,true,true,false,true,false
commons-beanutils,ConvertUtilsTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils/ConvertUtilsTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/main/java/org/apache/commons/beanutils/ConvertUtils.java,src/test/java/org/apache/commons/beanutils/ConvertUtilsTestCase.java,src/main/java/org/apache/commons/beanutils/ConvertUtils.java,true,true,true,true,false,true,true,true,true,false,true,false,true,false,false,true,true,true,true,true,false,true,false
commons-beanutils,DynaBeanMapDecoratorTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils/DynaBeanMapDecoratorTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/main/java/org/apache/commons/beanutils/DynaBeanMapDecorator.java,src/test/java/org/apache/commons/beanutils/DynaBeanMapDecoratorTestCase.java,src/main/java/org/apache/commons/beanutils/DynaBeanMapDecorator.java,true,true,true,true,false,true,true,true,true,false,true,false,true,false,false,true,true,true,true,true,false,true,false
commons-beanutils,BeanPropertyValueChangeClosureTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils/BeanPropertyValueChangeClosureTestCase.java,/home/ubuntu/experiments/projects/commons-beanutils/src/main/java/org/apache/commons/beanutils/BeanPropertyValueChangeClosure.java,src/test/java/org/apache/commons/beanutils/BeanPropertyValueChangeClosureTestCase.java,src/main/java/org/apache/commons/beanutils/BeanPropertyValueChangeClosure.java,true,true,true,true,false,true,true,true,true,false,true,false,true,false,false,true,true,true,true,true,false,true,false
