App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Dead Fields,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Lack of Cohesion,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
jfreechart,RangeTypeTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/RangeTypeTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/RangeType.java,src/test/java/org/jfree/data/RangeTypeTest.java,src/main/java/org/jfree/data/RangeType.java,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false,false,false,false,false
jfreechart,DataUtilsTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/DataUtilsTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/DataUtils.java,src/test/java/org/jfree/data/DataUtilsTest.java,src/main/java/org/jfree/data/DataUtils.java,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,DefaultKeyedValueTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/DefaultKeyedValueTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/DefaultKeyedValue.java,src/test/java/org/jfree/data/DefaultKeyedValueTest.java,src/main/java/org/jfree/data/DefaultKeyedValue.java,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,DomainOrderTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/DomainOrderTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/DomainOrder.java,src/test/java/org/jfree/data/DomainOrderTest.java,src/main/java/org/jfree/data/DomainOrder.java,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,KeyToGroupMapTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/KeyToGroupMapTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/KeyToGroupMap.java,src/test/java/org/jfree/data/KeyToGroupMapTest.java,src/main/java/org/jfree/data/KeyToGroupMap.java,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,DefaultKeyedValuesTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/DefaultKeyedValuesTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/DefaultKeyedValues.java,src/test/java/org/jfree/data/DefaultKeyedValuesTest.java,src/main/java/org/jfree/data/DefaultKeyedValues.java,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,DefaultKeyedValues2DTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/DefaultKeyedValues2DTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/DefaultKeyedValues2D.java,src/test/java/org/jfree/data/DefaultKeyedValues2DTest.java,src/main/java/org/jfree/data/DefaultKeyedValues2D.java,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,RangeTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/RangeTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/Range.java,src/test/java/org/jfree/data/RangeTest.java,src/main/java/org/jfree/data/Range.java,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,KeyedObjectsTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/KeyedObjectsTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/KeyedObjects.java,src/test/java/org/jfree/data/KeyedObjectsTest.java,src/main/java/org/jfree/data/KeyedObjects.java,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,ComparableObjectItemTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/ComparableObjectItemTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/ComparableObjectItem.java,src/test/java/org/jfree/data/ComparableObjectItemTest.java,src/main/java/org/jfree/data/ComparableObjectItem.java,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,KeyedObjectTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/KeyedObjectTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/KeyedObject.java,src/test/java/org/jfree/data/KeyedObjectTest.java,src/main/java/org/jfree/data/KeyedObject.java,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,ComparableObjectSeriesTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/ComparableObjectSeriesTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/ComparableObjectSeries.java,src/test/java/org/jfree/data/ComparableObjectSeriesTest.java,src/main/java/org/jfree/data/ComparableObjectSeries.java,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,KeyedObjects2DTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/KeyedObjects2DTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/KeyedObjects2D.java,src/test/java/org/jfree/data/KeyedObjects2DTest.java,src/main/java/org/jfree/data/KeyedObjects2D.java,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,BoxAndWhiskerCalculatorTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/statistics/BoxAndWhiskerCalculatorTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/statistics/BoxAndWhiskerCalculator.java,src/test/java/org/jfree/data/statistics/BoxAndWhiskerCalculatorTest.java,src/main/java/org/jfree/data/statistics/BoxAndWhiskerCalculator.java,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,MeanAndStandardDeviationTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/statistics/MeanAndStandardDeviationTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/statistics/MeanAndStandardDeviation.java,src/test/java/org/jfree/data/statistics/MeanAndStandardDeviationTest.java,src/main/java/org/jfree/data/statistics/MeanAndStandardDeviation.java,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,SimpleHistogramBinTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/statistics/SimpleHistogramBinTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/statistics/SimpleHistogramBin.java,src/test/java/org/jfree/data/statistics/SimpleHistogramBinTest.java,src/main/java/org/jfree/data/statistics/SimpleHistogramBin.java,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,SimpleHistogramDatasetTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/statistics/SimpleHistogramDatasetTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/statistics/SimpleHistogramDataset.java,src/test/java/org/jfree/data/statistics/SimpleHistogramDatasetTest.java,src/main/java/org/jfree/data/statistics/SimpleHistogramDataset.java,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,BoxAndWhiskerItemTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/statistics/BoxAndWhiskerItemTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/statistics/BoxAndWhiskerItem.java,src/test/java/org/jfree/data/statistics/BoxAndWhiskerItemTest.java,src/main/java/org/jfree/data/statistics/BoxAndWhiskerItem.java,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,HistogramDatasetTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/statistics/HistogramDatasetTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/statistics/HistogramDataset.java,src/test/java/org/jfree/data/statistics/HistogramDatasetTest.java,src/main/java/org/jfree/data/statistics/HistogramDataset.java,true,false,false,true,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,DefaultBoxAndWhiskerXYDatasetTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/statistics/DefaultBoxAndWhiskerXYDatasetTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/statistics/DefaultBoxAndWhiskerXYDataset.java,src/test/java/org/jfree/data/statistics/DefaultBoxAndWhiskerXYDatasetTest.java,src/main/java/org/jfree/data/statistics/DefaultBoxAndWhiskerXYDataset.java,true,false,false,true,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,DefaultMultiValueCategoryDatasetTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/statistics/DefaultMultiValueCategoryDatasetTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/statistics/DefaultMultiValueCategoryDataset.java,src/test/java/org/jfree/data/statistics/DefaultMultiValueCategoryDatasetTest.java,src/main/java/org/jfree/data/statistics/DefaultMultiValueCategoryDataset.java,true,false,false,true,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,HistogramBinTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/statistics/HistogramBinTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/statistics/HistogramBin.java,src/test/java/org/jfree/data/statistics/HistogramBinTest.java,src/main/java/org/jfree/data/statistics/HistogramBin.java,true,false,false,true,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,DefaultBoxAndWhiskerCategoryDatasetTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDatasetTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java,src/test/java/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDatasetTest.java,src/main/java/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java,true,false,false,true,false,false,true,false,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false
jfreechart,DefaultStatisticalCategoryDatasetTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/statistics/DefaultStatisticalCategoryDatasetTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/statistics/DefaultStatisticalCategoryDataset.java,src/test/java/org/jfree/data/statistics/DefaultStatisticalCategoryDatasetTest.java,src/main/java/org/jfree/data/statistics/DefaultStatisticalCategoryDataset.java,true,false,false,true,false,false,true,false,true,false,false,true,true,false,false,true,true,true,false,false,false,true,false
jfreechart,StatisticsTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/statistics/StatisticsTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/statistics/Statistics.java,src/test/java/org/jfree/data/statistics/StatisticsTest.java,src/main/java/org/jfree/data/statistics/Statistics.java,true,false,false,true,false,false,true,false,true,false,false,true,true,false,false,true,true,true,false,false,false,true,false
jfreechart,RegressionTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/statistics/RegressionTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/statistics/Regression.java,src/test/java/org/jfree/data/statistics/RegressionTest.java,src/main/java/org/jfree/data/statistics/Regression.java,true,true,false,true,false,false,true,false,true,false,false,true,true,false,false,true,true,true,false,false,false,true,false
jfreechart,DefaultXYDatasetTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/xy/DefaultXYDatasetTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/xy/DefaultXYDataset.java,src/test/java/org/jfree/data/xy/DefaultXYDatasetTest.java,src/main/java/org/jfree/data/xy/DefaultXYDataset.java,true,true,false,true,false,false,true,false,true,false,false,true,true,false,false,true,true,true,false,false,false,true,false
jfreechart,XYIntervalSeriesCollectionTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/xy/XYIntervalSeriesCollectionTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/xy/XYIntervalSeriesCollection.java,src/test/java/org/jfree/data/xy/XYIntervalSeriesCollectionTest.java,src/main/java/org/jfree/data/xy/XYIntervalSeriesCollection.java,true,true,false,true,false,false,true,false,true,false,false,true,true,false,false,true,true,true,false,false,false,true,false
jfreechart,XYSeriesTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/xy/XYSeriesTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/xy/XYSeries.java,src/test/java/org/jfree/data/xy/XYSeriesTest.java,src/main/java/org/jfree/data/xy/XYSeries.java,true,true,false,true,false,false,true,false,true,false,false,true,true,false,false,true,true,true,false,false,false,true,false
jfreechart,XYDataItemTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/xy/XYDataItemTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/xy/XYDataItem.java,src/test/java/org/jfree/data/xy/XYDataItemTest.java,src/main/java/org/jfree/data/xy/XYDataItem.java,true,true,false,true,false,false,true,false,true,false,false,true,true,false,false,true,true,true,false,false,false,true,false
jfreechart,DefaultTableXYDatasetTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/xy/DefaultTableXYDatasetTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/xy/DefaultTableXYDataset.java,src/test/java/org/jfree/data/xy/DefaultTableXYDatasetTest.java,src/main/java/org/jfree/data/xy/DefaultTableXYDataset.java,true,true,false,true,false,false,true,false,true,false,false,true,true,false,false,true,true,true,false,false,false,true,false
jfreechart,YWithXIntervalTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/xy/YWithXIntervalTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/xy/YWithXInterval.java,src/test/java/org/jfree/data/xy/YWithXIntervalTest.java,src/main/java/org/jfree/data/xy/YWithXInterval.java,true,true,false,true,false,false,true,false,true,false,false,true,true,false,false,true,true,true,false,false,false,true,false
jfreechart,XYCoordinateTest.java,/home/ubuntu/experiments/projects/jfreechart/src/test/java/org/jfree/data/xy/XYCoordinateTest.java,/home/ubuntu/experiments/projects/jfreechart/src/main/java/org/jfree/data/xy/XYCoordinate.java,src/test/java/org/jfree/data/xy/XYCoordinateTest.java,src/main/java/org/jfree/data/xy/XYCoordinate.java,true,true,false,true,false,false,true,false,true,false,false,true,true,false,false,true,true,true,false,false,false,true,false
