App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Dead Fields,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Lack of Cohesion,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
junit4,AssumptionViolatedExceptionTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/AssumptionViolatedExceptionTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/AssumptionViolatedException.java,src/test/java/org/junit/AssumptionViolatedExceptionTest.java,src/main/java/org/junit/AssumptionViolatedException.java,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false
junit4,AssumptionViolatedExceptionTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/AssumptionViolatedExceptionTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/internal/AssumptionViolatedException.java,src/test/java/org/junit/AssumptionViolatedExceptionTest.java,src/main/java/org/junit/internal/AssumptionViolatedException.java,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false
junit4,PublicClassValidatorTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/validator/PublicClassValidatorTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/validator/PublicClassValidator.java,src/test/java/org/junit/validator/PublicClassValidatorTest.java,src/main/java/org/junit/validator/PublicClassValidator.java,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false
junit4,AnnotationsValidatorTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/validator/AnnotationsValidatorTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/validator/AnnotationsValidator.java,src/test/java/org/junit/validator/AnnotationsValidatorTest.java,src/main/java/org/junit/validator/AnnotationsValidator.java,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false
junit4,AnnotationValidatorFactoryTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/validator/AnnotationValidatorFactoryTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/validator/AnnotationValidatorFactory.java,src/test/java/org/junit/validator/AnnotationValidatorFactoryTest.java,src/main/java/org/junit/validator/AnnotationValidatorFactory.java,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false
junit4,MethodSorterTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/internal/MethodSorterTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/internal/MethodSorter.java,src/test/java/org/junit/internal/MethodSorterTest.java,src/main/java/org/junit/internal/MethodSorter.java,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false
junit4,ThrowableCauseMatcherTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/internal/matchers/ThrowableCauseMatcherTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/internal/matchers/ThrowableCauseMatcher.java,src/test/java/org/junit/internal/matchers/ThrowableCauseMatcherTest.java,src/main/java/org/junit/internal/matchers/ThrowableCauseMatcher.java,false,false,false,true,false,true,true,false,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false
junit4,StacktracePrintingMatcherTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/internal/matchers/StacktracePrintingMatcherTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/internal/matchers/StacktracePrintingMatcher.java,src/test/java/org/junit/internal/matchers/StacktracePrintingMatcherTest.java,src/main/java/org/junit/internal/matchers/StacktracePrintingMatcher.java,true,false,false,true,false,true,true,false,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false
junit4,AnnotatedBuilderTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/internal/builders/AnnotatedBuilderTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/internal/builders/AnnotatedBuilder.java,src/test/java/org/junit/internal/builders/AnnotatedBuilderTest.java,src/main/java/org/junit/internal/builders/AnnotatedBuilder.java,true,false,false,true,false,true,true,false,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false
junit4,ErrorReportingRunnerTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/internal/runners/ErrorReportingRunnerTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/internal/runners/ErrorReportingRunner.java,src/test/java/org/junit/tests/internal/runners/ErrorReportingRunnerTest.java,src/main/java/org/junit/internal/runners/ErrorReportingRunner.java,true,false,false,true,false,true,true,false,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false
junit4,FailOnTimeoutTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/internal/runners/statements/FailOnTimeoutTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java,src/test/java/org/junit/tests/internal/runners/statements/FailOnTimeoutTest.java,src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java,true,true,false,true,false,true,true,false,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false
junit4,FilterableTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/manipulation/FilterableTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/runner/manipulation/Filterable.java,src/test/java/org/junit/tests/manipulation/FilterableTest.java,src/main/java/org/junit/runner/manipulation/Filterable.java,true,true,false,true,false,true,true,false,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false
junit4,SortableTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/manipulation/SortableTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/runner/manipulation/Sortable.java,src/test/java/org/junit/tests/manipulation/SortableTest.java,src/main/java/org/junit/runner/manipulation/Sortable.java,true,true,false,true,false,true,true,false,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false
junit4,FilterTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/manipulation/FilterTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/runner/manipulation/Filter.java,src/test/java/org/junit/tests/manipulation/FilterTest.java,src/main/java/org/junit/runner/manipulation/Filter.java,true,true,false,true,false,true,true,false,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false
junit4,ClassRequestTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/junit3compatibility/ClassRequestTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/internal/requests/ClassRequest.java,src/test/java/org/junit/tests/junit3compatibility/ClassRequestTest.java,src/main/java/org/junit/internal/requests/ClassRequest.java,true,true,false,true,false,true,true,false,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false
junit4,AllTestsTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/junit3compatibility/AllTestsTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/runners/AllTests.java,src/test/java/org/junit/tests/junit3compatibility/AllTestsTest.java,src/main/java/org/junit/runners/AllTests.java,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,true,true,false,true,false,false,true,false
junit4,JUnit38ClassRunnerTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/junit3compatibility/JUnit38ClassRunnerTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/internal/runners/JUnit38ClassRunner.java,src/test/java/org/junit/tests/junit3compatibility/JUnit38ClassRunnerTest.java,src/main/java/org/junit/internal/runners/JUnit38ClassRunner.java,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,true,true,false,true,true,false,true,false
junit4,SuiteMethodTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/junit3compatibility/SuiteMethodTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/internal/runners/SuiteMethod.java,src/test/java/org/junit/tests/junit3compatibility/SuiteMethodTest.java,src/main/java/org/junit/internal/runners/SuiteMethod.java,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,true,true,false,true,true,false,true,false
junit4,ResultMatchersTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/experimental/results/ResultMatchersTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/experimental/results/ResultMatchers.java,src/test/java/org/junit/tests/experimental/results/ResultMatchersTest.java,src/main/java/org/junit/experimental/results/ResultMatchers.java,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,true,true,false,true,true,false,true,false
junit4,PrintableResultTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/experimental/results/PrintableResultTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/experimental/results/PrintableResult.java,src/test/java/org/junit/tests/experimental/results/PrintableResultTest.java,src/main/java/org/junit/experimental/results/PrintableResult.java,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,true,true,false,true,true,false,true,false
junit4,DescriptionTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/experimental/max/DescriptionTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/runner/Description.java,src/test/java/org/junit/tests/experimental/max/DescriptionTest.java,src/main/java/org/junit/runner/Description.java,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,true,true,true,true,true,false,true,false
junit4,ParameterSignatureTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/experimental/theories/ParameterSignatureTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/experimental/theories/ParameterSignature.java,src/test/java/org/junit/tests/experimental/theories/ParameterSignatureTest.java,src/main/java/org/junit/experimental/theories/ParameterSignature.java,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,true,true,true,true,true,false,true,false
junit4,TestedOnSupplierTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/experimental/theories/TestedOnSupplierTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/experimental/theories/suppliers/TestedOnSupplier.java,src/test/java/org/junit/tests/experimental/theories/TestedOnSupplierTest.java,src/main/java/org/junit/experimental/theories/suppliers/TestedOnSupplier.java,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,true,true,true,true,true,false,true,false
junit4,PotentialAssignmentTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/experimental/theories/PotentialAssignmentTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/experimental/theories/PotentialAssignment.java,src/test/java/org/junit/tests/experimental/theories/PotentialAssignmentTest.java,src/main/java/org/junit/experimental/theories/PotentialAssignment.java,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,true,true,true,true,true,false,true,false
junit4,ParameterizedAssertionErrorTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/experimental/theories/internal/ParameterizedAssertionErrorTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/experimental/theories/internal/ParameterizedAssertionError.java,src/test/java/org/junit/tests/experimental/theories/internal/ParameterizedAssertionErrorTest.java,src/main/java/org/junit/experimental/theories/internal/ParameterizedAssertionError.java,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,true,true,true,true,true,false,true,false
junit4,SpecificDataPointsSupplierTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/experimental/theories/internal/SpecificDataPointsSupplierTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/experimental/theories/internal/SpecificDataPointsSupplier.java,src/test/java/org/junit/tests/experimental/theories/internal/SpecificDataPointsSupplierTest.java,src/main/java/org/junit/experimental/theories/internal/SpecificDataPointsSupplier.java,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,true,true,true,true,true,false,true,false
junit4,AllMembersSupplierTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/experimental/theories/internal/AllMembersSupplierTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/experimental/theories/internal/AllMembersSupplier.java,src/test/java/org/junit/tests/experimental/theories/internal/AllMembersSupplierTest.java,src/main/java/org/junit/experimental/theories/internal/AllMembersSupplier.java,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,true,true,true,true,true,false,true,false
junit4,TestRuleTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/experimental/rules/TestRuleTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/rules/TestRule.java,src/test/java/org/junit/tests/experimental/rules/TestRuleTest.java,src/main/java/org/junit/rules/TestRule.java,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,true,true,true,true,true,false,true,false
junit4,TestWatcherTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/experimental/rules/TestWatcherTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/rules/TestWatcher.java,src/test/java/org/junit/tests/experimental/rules/TestWatcherTest.java,src/main/java/org/junit/rules/TestWatcher.java,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,true,true,true,true,true,false,true,false
junit4,RuleMemberValidatorTest.java,/home/ubuntu/experiments/projects/junit4/src/test/java/org/junit/tests/experimental/rules/RuleMemberValidatorTest.java,/home/ubuntu/experiments/projects/junit4/src/main/java/org/junit/internal/runners/rules/RuleMemberValidator.java,src/test/java/org/junit/tests/experimental/rules/RuleMemberValidatorTest.java,src/main/java/org/junit/internal/runners/rules/RuleMemberValidator.java,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false,true,true,true,true,true,false,true,false
