Project,Package,Class,MethodSignature,OuterClass,AccessModifier,IsStatic,IsFinal,ATFD,CA,CAM,CBO,CBOMZ,CE,CYCLO,DAM,DIT,LCOM,LD,LOC_C,LOC_M,MFA,MOA,MRD,NOAM,NOC,NOL_C,NOL_M,NOM,NOMM,NOMR_C,NOMR_M,NOPA,NOPV,NPM,RFC,WMC,WMCNAMM,WOC
C:\Users\marci\Desktop\Studia\Semestr 8\Projekt badawczo-rozwojowy w in퓓nierii oprogramowania\Projekt\M8\lightweight-effectiveness\projects\junit4\src\main\java\junit\extensions,junit.extensions,ActiveTestSuite,,,public,false,false,,,,,,,,,,,0.0,57,,,,0.0,0,,0,,5,0,0,,0,1,4,,7,7,1.0
C:\Users\marci\Desktop\Studia\Semestr 8\Projekt badawczo-rozwojowy w in퓓nierii oprogramowania\Projekt\M8\lightweight-effectiveness\projects\junit4\src\main\java\junit\extensions,junit.extensions,RepeatedTest,,,public,false,false,,,,,,,,,,,0.0,32,,,,0.0,2,,0,,3,0,0,,0,1,3,,5,3,0.3333333333333333
C:\Users\marci\Desktop\Studia\Semestr 8\Projekt badawczo-rozwojowy w in퓓nierii oprogramowania\Projekt\M8\lightweight-effectiveness\projects\junit4\src\main\java\junit\extensions,junit.extensions,TestDecorator,,,public,false,false,,,,,,,,,,,0.0,30,,,,0.0,3,,0,,5,0,0,,0,0,5,,5,2,0.4
C:\Users\marci\Desktop\Studia\Semestr 8\Projekt badawczo-rozwojowy w in퓓nierii oprogramowania\Projekt\M8\lightweight-effectiveness\projects\junit4\src\main\java\junit\extensions,junit.extensions,TestSetup,,,public,false,false,,,,,,,,,,,0.0,25,,,,0.0,0,,0,,4,0,0,,0,0,2,,4,4,1.0
C:\Users\marci\Desktop\Studia\Semestr 8\Projekt badawczo-rozwojowy w in퓓nierii oprogramowania\Projekt\M8\lightweight-effectiveness\projects\junit4\src\main\java\junit\framework,junit.framework,Assert,,,public,false,false,,,,,,,,,,,0.0,199,,,,0.0,0,,0,,38,0,0,,0,0,38,,55,55,1.0
C:\Users\marci\Desktop\Studia\Semestr 8\Projekt badawczo-rozwojowy w in퓓nierii oprogramowania\Projekt\M8\lightweight-effectiveness\projects\junit4\src\main\java\junit\framework,junit.framework,AssertionFailedError,,,public,false,false,,,,,,,,,,,0.0,15,,,,0.0,0,,0,,1,0,0,,0,1,0,,2,2,1.0
C:\Users\marci\Desktop\Studia\Semestr 8\Projekt badawczo-rozwojowy w in퓓nierii oprogramowania\Projekt\M8\lightweight-effectiveness\projects\junit4\src\main\java\junit\framework,junit.framework,ComparisonCompactor,,,public,false,false,,,,,,,,,,,0.0,81,,,,0.0,1,,0,,7,0,0,,0,8,1,,16,15,0.8571428571428571
C:\Users\marci\Desktop\Studia\Semestr 8\Projekt badawczo-rozwojowy w in퓓nierii oprogramowania\Projekt\M8\lightweight-effectiveness\projects\junit4\src\main\java\junit\framework,junit.framework,ComparisonFailure,,,public,false,false,,,,,,,,,,,0.0,29,,,,0.0,3,,0,,3,0,0,,0,4,3,,3,0,0.0
C:\Users\marci\Desktop\Studia\Semestr 8\Projekt badawczo-rozwojowy w in퓓nierii oprogramowania\Projekt\M8\lightweight-effectiveness\projects\junit4\src\main\java\junit\framework,junit.framework,JUnit4TestAdapter,,,public,false,false,,,,,,,,,,,0.0,74,,,,0.0,4,,0,,11,0,0,,0,3,9,,14,10,0.6363636363636364
C:\Users\marci\Desktop\Studia\Semestr 8\Projekt badawczo-rozwojowy w in퓓nierii oprogramowania\Projekt\M8\lightweight-effectiveness\projects\junit4\src\main\java\junit\framework,junit.framework,JUnit4TestAdapterCache,,,public,false,false,,,,,,,,,,,0.0,67,,,,0.0,1,,0,,8,0,0,,0,2,7,,14,13,0.875
