App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Dead Fields,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Lack of Cohesion,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
closure-compiler,TypeCheckTestCase.java,/home/ubuntu/experiments/projects/closure-compiler/test/com/google/javascript/jscomp/TypeCheckTestCase.java,/home/ubuntu/experiments/projects/closure-compiler/src/com/google/javascript/jscomp/TypeCheck.java,test/com/google/javascript/jscomp/TypeCheckTestCase.java,src/com/google/javascript/jscomp/TypeCheck.java,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
closure-compiler,CompilerTestCase.java,/home/ubuntu/experiments/projects/closure-compiler/test/com/google/javascript/jscomp/CompilerTestCase.java,/home/ubuntu/experiments/projects/closure-compiler/src/com/google/javascript/jscomp/Compiler.java,test/com/google/javascript/jscomp/CompilerTestCase.java,src/com/google/javascript/jscomp/Compiler.java,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false
closure-compiler,SourceMapTestCase.java,/home/ubuntu/experiments/projects/closure-compiler/test/com/google/debugging/sourcemap/SourceMapTestCase.java,/home/ubuntu/experiments/projects/closure-compiler/src/com/google/javascript/jscomp/SourceMap.java,test/com/google/debugging/sourcemap/SourceMapTestCase.java,src/com/google/javascript/jscomp/SourceMap.java,false,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false
closure-compiler,JSDocInfoTest.java,/home/ubuntu/experiments/projects/closure-compiler/test/com/google/javascript/rhino/JSDocInfoTest.java,/home/ubuntu/experiments/projects/closure-compiler/src/com/google/javascript/rhino/JSDocInfo.java,test/com/google/javascript/rhino/JSDocInfoTest.java,src/com/google/javascript/rhino/JSDocInfo.java,true,false,true,true,false,false,true,true,true,false,false,false,false,false,false,true,true,true,true,true,false,true,false
closure-compiler,HamtPMapTest.java,/home/ubuntu/experiments/projects/closure-compiler/test/com/google/javascript/rhino/HamtPMapTest.java,/home/ubuntu/experiments/projects/closure-compiler/src/com/google/javascript/rhino/HamtPMap.java,test/com/google/javascript/rhino/HamtPMapTest.java,src/com/google/javascript/rhino/HamtPMap.java,true,true,true,true,false,false,true,true,true,false,false,false,false,false,false,true,true,true,true,true,false,true,false
closure-compiler,IRTest.java,/home/ubuntu/experiments/projects/closure-compiler/test/com/google/javascript/rhino/IRTest.java,/home/ubuntu/experiments/projects/closure-compiler/src/com/google/javascript/rhino/IR.java,test/com/google/javascript/rhino/IRTest.java,src/com/google/javascript/rhino/IR.java,true,true,true,true,false,false,true,true,true,false,false,false,false,false,false,true,true,true,true,true,false,true,false
closure-compiler,NodeTest.java,/home/ubuntu/experiments/projects/closure-compiler/test/com/google/javascript/rhino/NodeTest.java,/home/ubuntu/experiments/projects/closure-compiler/src/com/google/javascript/rhino/Node.java,test/com/google/javascript/rhino/NodeTest.java,src/com/google/javascript/rhino/Node.java,true,true,true,true,false,false,true,true,true,false,false,false,false,false,false,true,true,true,true,true,false,true,false
closure-compiler,JSTypeTest.java,/home/ubuntu/experiments/projects/closure-compiler/test/com/google/javascript/rhino/jstype/JSTypeTest.java,/home/ubuntu/experiments/projects/closure-compiler/src/com/google/javascript/rhino/jstype/JSType.java,test/com/google/javascript/rhino/jstype/JSTypeTest.java,src/com/google/javascript/rhino/jstype/JSType.java,true,true,true,true,false,false,true,true,true,false,false,true,true,true,false,true,true,true,true,true,false,true,false
closure-compiler,JSTypeRegistryTest.java,/home/ubuntu/experiments/projects/closure-compiler/test/com/google/javascript/rhino/jstype/JSTypeRegistryTest.java,/home/ubuntu/experiments/projects/closure-compiler/src/com/google/javascript/rhino/jstype/JSTypeRegistry.java,test/com/google/javascript/rhino/jstype/JSTypeRegistryTest.java,src/com/google/javascript/rhino/jstype/JSTypeRegistry.java,true,true,true,true,false,false,true,true,true,false,false,true,true,true,false,true,true,true,true,true,false,true,false
closure-compiler,FunctionTypeTest.java,/home/ubuntu/experiments/projects/closure-compiler/test/com/google/javascript/rhino/jstype/FunctionTypeTest.java,/home/ubuntu/experiments/projects/closure-compiler/src/com/google/javascript/rhino/jstype/FunctionType.java,test/com/google/javascript/rhino/jstype/FunctionTypeTest.java,src/com/google/javascript/rhino/jstype/FunctionType.java,true,true,true,true,false,false,true,true,true,false,false,true,true,true,false,true,true,true,true,true,false,true,false
