App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Dead Fields,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Lack of Cohesion,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
joda-beans,TestBeanIterator.java,/home/ubuntu/experiments/projects/joda-beans/src/test/java/org/joda/beans/TestBeanIterator.java,/home/ubuntu/experiments/projects/joda-beans/src/main/java/org/joda/beans/BeanIterator.java,src/test/java/org/joda/beans/TestBeanIterator.java,src/main/java/org/joda/beans/BeanIterator.java,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,true,false,false,false,false,false
joda-beans,TestMapBean.java,/home/ubuntu/experiments/projects/joda-beans/src/test/java/org/joda/beans/TestMapBean.java,/home/ubuntu/experiments/projects/joda-beans/src/main/java/org/joda/beans/impl/map/MapBean.java,src/test/java/org/joda/beans/TestMapBean.java,src/main/java/org/joda/beans/impl/map/MapBean.java,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,true,false,false,false,true,false
joda-beans,TestFlexiBean.java,/home/ubuntu/experiments/projects/joda-beans/src/test/java/org/joda/beans/TestFlexiBean.java,/home/ubuntu/experiments/projects/joda-beans/src/main/java/org/joda/beans/impl/flexi/FlexiBean.java,src/test/java/org/joda/beans/TestFlexiBean.java,src/main/java/org/joda/beans/impl/flexi/FlexiBean.java,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,true,true,false,false,false,true,false
joda-beans,TestBeanCodeGenException.java,/home/ubuntu/experiments/projects/joda-beans/src/test/java/org/joda/beans/TestBeanCodeGenException.java,/home/ubuntu/experiments/projects/joda-beans/src/main/java/org/joda/beans/gen/BeanCodeGenException.java,src/test/java/org/joda/beans/TestBeanCodeGenException.java,src/main/java/org/joda/beans/gen/BeanCodeGenException.java,true,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,true,true,false,false,false,true,false
joda-beans,TestJodaBeanUtils.java,/home/ubuntu/experiments/projects/joda-beans/src/test/java/org/joda/beans/TestJodaBeanUtils.java,/home/ubuntu/experiments/projects/joda-beans/src/main/java/org/joda/beans/JodaBeanUtils.java,src/test/java/org/joda/beans/TestJodaBeanUtils.java,src/main/java/org/joda/beans/JodaBeanUtils.java,true,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,true,true,true,false,false,true,false
joda-beans,TestPropertyStyle.java,/home/ubuntu/experiments/projects/joda-beans/src/test/java/org/joda/beans/TestPropertyStyle.java,/home/ubuntu/experiments/projects/joda-beans/src/main/java/org/joda/beans/PropertyStyle.java,src/test/java/org/joda/beans/TestPropertyStyle.java,src/main/java/org/joda/beans/PropertyStyle.java,true,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,true,true,true,false,false,true,false
joda-beans,TestBasicBean.java,/home/ubuntu/experiments/projects/joda-beans/src/test/java/org/joda/beans/TestBasicBean.java,/home/ubuntu/experiments/projects/joda-beans/src/main/java/org/joda/beans/impl/BasicBean.java,src/test/java/org/joda/beans/TestBasicBean.java,src/main/java/org/joda/beans/impl/BasicBean.java,true,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,true,true,true,false,false,true,false
joda-beans,TestMetaBean.java,/home/ubuntu/experiments/projects/joda-beans/src/test/java/org/joda/beans/TestMetaBean.java,/home/ubuntu/experiments/projects/joda-beans/src/main/java/org/joda/beans/MetaBean.java,src/test/java/org/joda/beans/TestMetaBean.java,src/main/java/org/joda/beans/MetaBean.java,true,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,true,true,true,false,false,true,false
joda-beans,TestFlexiBean.java,/home/ubuntu/experiments/projects/joda-beans/src/test/java/org/joda/beans/impl/flexi/TestFlexiBean.java,/home/ubuntu/experiments/projects/joda-beans/src/main/java/org/joda/beans/impl/flexi/FlexiBean.java,src/test/java/org/joda/beans/impl/flexi/TestFlexiBean.java,src/main/java/org/joda/beans/impl/flexi/FlexiBean.java,true,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,true,true,true,false,false,true,false
joda-beans,TestSerTypeMapper.java,/home/ubuntu/experiments/projects/joda-beans/src/test/java/org/joda/beans/ser/TestSerTypeMapper.java,/home/ubuntu/experiments/projects/joda-beans/src/main/java/org/joda/beans/ser/SerTypeMapper.java,src/test/java/org/joda/beans/ser/TestSerTypeMapper.java,src/main/java/org/joda/beans/ser/SerTypeMapper.java,true,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,true,true,true,false,false,true,false
joda-beans,TestSerDeserializerProvider.java,/home/ubuntu/experiments/projects/joda-beans/src/test/java/org/joda/beans/ser/TestSerDeserializerProvider.java,/home/ubuntu/experiments/projects/joda-beans/src/main/java/org/joda/beans/ser/SerDeserializerProvider.java,src/test/java/org/joda/beans/ser/TestSerDeserializerProvider.java,src/main/java/org/joda/beans/ser/SerDeserializerProvider.java,true,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,true,true,true,false,false,true,false
joda-beans,TestJsonInput.java,/home/ubuntu/experiments/projects/joda-beans/src/test/java/org/joda/beans/ser/json/TestJsonInput.java,/home/ubuntu/experiments/projects/joda-beans/src/main/java/org/joda/beans/ser/json/JsonInput.java,src/test/java/org/joda/beans/ser/json/TestJsonInput.java,src/main/java/org/joda/beans/ser/json/JsonInput.java,true,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,true,true,true,false,false,true,false
joda-beans,TestJsonOutput.java,/home/ubuntu/experiments/projects/joda-beans/src/test/java/org/joda/beans/ser/json/TestJsonOutput.java,/home/ubuntu/experiments/projects/joda-beans/src/main/java/org/joda/beans/ser/json/JsonOutput.java,src/test/java/org/joda/beans/ser/json/TestJsonOutput.java,src/main/java/org/joda/beans/ser/json/JsonOutput.java,true,false,false,false,false,false,true,true,true,false,false,false,true,false,false,true,true,true,true,false,false,true,false
joda-beans,TestBeanAssert.java,/home/ubuntu/experiments/projects/joda-beans/src/test/java/org/joda/beans/test/TestBeanAssert.java,/home/ubuntu/experiments/projects/joda-beans/src/main/java/org/joda/beans/test/BeanAssert.java,src/test/java/org/joda/beans/test/TestBeanAssert.java,src/main/java/org/joda/beans/test/BeanAssert.java,true,false,false,false,false,false,true,true,true,false,true,true,true,false,false,true,true,true,true,false,false,true,false
