App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Dead Fields,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Lack of Cohesion,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
opengrok,SuggesterTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/test/java/org/opengrok/suggest/SuggesterTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/main/java/org/opengrok/suggest/Suggester.java,suggest/SuggesterTest.java,suggest/Suggester.java,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false
opengrok,SuggesterProjectDataTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/test/java/org/opengrok/suggest/SuggesterProjectDataTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/main/java/org/opengrok/suggest/SuggesterProjectData.java,suggest/SuggesterProjectDataTest.java,suggest/SuggesterProjectData.java,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false
opengrok,LookupResultItemTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/test/java/org/opengrok/suggest/LookupResultItemTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/main/java/org/opengrok/suggest/LookupResultItem.java,suggest/LookupResultItemTest.java,suggest/LookupResultItem.java,true,false,false,false,false,false,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false
opengrok,LookupPriorityQueueTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/test/java/org/opengrok/suggest/LookupPriorityQueueTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/main/java/org/opengrok/suggest/LookupPriorityQueue.java,suggest/LookupPriorityQueueTest.java,suggest/LookupPriorityQueue.java,true,false,false,false,false,false,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false
opengrok,SuggesterSearcherTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/test/java/org/opengrok/suggest/SuggesterSearcherTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/main/java/org/opengrok/suggest/SuggesterSearcher.java,suggest/SuggesterSearcherTest.java,suggest/SuggesterSearcher.java,true,false,false,false,false,false,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false
opengrok,SuggesterUtilsTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/test/java/org/opengrok/suggest/SuggesterUtilsTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/main/java/org/opengrok/suggest/SuggesterUtils.java,suggest/SuggesterUtilsTest.java,suggest/SuggesterUtils.java,true,false,false,false,false,false,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false
opengrok,SuggesterPrefixQueryTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/test/java/org/opengrok/suggest/query/SuggesterPrefixQueryTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/main/java/org/opengrok/suggest/query/SuggesterPrefixQuery.java,suggest/query/SuggesterPrefixQueryTest.java,suggest/query/SuggesterPrefixQuery.java,true,false,false,false,false,false,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false
opengrok,SuggesterFuzzyQueryTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/test/java/org/opengrok/suggest/query/SuggesterFuzzyQueryTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/main/java/org/opengrok/suggest/query/SuggesterFuzzyQuery.java,suggest/query/SuggesterFuzzyQueryTest.java,suggest/query/SuggesterFuzzyQuery.java,true,false,false,false,false,false,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false
opengrok,SuggesterWildcardQueryTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/test/java/org/opengrok/suggest/query/SuggesterWildcardQueryTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/main/java/org/opengrok/suggest/query/SuggesterWildcardQuery.java,suggest/query/SuggesterWildcardQueryTest.java,suggest/query/SuggesterWildcardQuery.java,true,false,false,false,false,false,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false
opengrok,SuggesterPhraseQueryTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/test/java/org/opengrok/suggest/query/SuggesterPhraseQueryTest.java,/home/ubuntu/experiments/projects/opengrok/suggester/src/main/java/org/opengrok/suggest/query/SuggesterPhraseQuery.java,suggest/query/SuggesterPhraseQueryTest.java,suggest/query/SuggesterPhraseQuery.java,true,false,false,false,false,false,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false
